customer_id,name,total_spend,cum_distribution
523,Marcus Johnson,4774.39,0.9559
371,Robert Hart,4683.94,0.9573
387,Heather Knight,4621.15,0.9587
434,Leonard Hayes™,4430.6,0.9601
470,David Valenciañ,4306.08,0.9614
480,Alexandria Baker,4204.34,0.9628
717,Adrian Pena,4083.33,0.9642
100,Melissa Burke,4046.0,0.9656
450,Stephanie Murphy,3944.42,0.9669
566,Ashley Thompson,3857.23,0.9683
325,Audrey Nichols,3646.0,0.9697
9,Melissa Delacruz,3634.46,0.9711
649,Paul Frye,3344.05,0.9725
188,Bradley Logan,3305.7,0.9738
738,Jeffrey Haynes,3209.18,0.9752
321,John Williams,2927.9,0.9766
338,Vanessa Brooks,2646.06,0.978
756,Anna Bradley,2537.1,0.9793
201,Lindsay Bruce,2194.0,0.9807
290,Scott Washington,2160.03,0.9821
563,Joseph Butler,2126.27,0.9835
575,William Bates,1209.33,0.9848
754,Melissa Gonzalez,1104.0,0.9862
407,Raymond Flores,1054.32,0.9876
640,Kaitlyn Evansñ,755.76,0.989
194,Robert Wilcox,664.2,0.9904
403,Kevin Patton,625.14,0.9917
150,Eric Harrison,587.97,0.9931
62,Andrew Lee,448.64,0.9945
262,Tyler Jimenez,345.26,0.9959
695,Bill Wong😀,335.92,0.9972
154,Cynthia Brennan,261.8,0.9986
71,Diana Marshall,105.86,1.0
